,text
0,बालबालिकामा ‘न्युमोकोकल खोप’ प्रभावकारी देखिएको पाइएको छ । सरकारले राष्ट्रिय खोप कार्यक्रममा राखेको ‘न्युमोकोकल खोप’(पिसिभी १०)को प्रभावकारिताका बारेमा गरिएको एक अध्ययनमा यो खोपले न्युमोकोकस बाक्टेरियाका पिसिभी १० मा समावेश गरिएका प्रजातिहरु (सेरो टाइप)हरूले गराउने कडा खालका रोग घटेको पाइएको हो । 
1,कान्ति बाल अस्पतालमा मंगलबार सितापाइलाकी चन्द्रकला पौडेल ओपीडी वार्डको बाहिर पालो कुरिरहेकी थिइन् ।९ वर्षीय छोरालाई १ हप्तादेखि खोकी लाग्ने समस्या भएपछि उनले अस्पताल ल्याएकी थिइन् । 
2,स्वास्थ्य तथा जनसंख्या मन्त्रालयले कोभिड संक्रमणको जोखिम कायमै रहेको भन्दै जनस्वास्थ्यका मापदण्ड पालना गर्न आग्रह गरेको छ।  
3,नेपालमा १७ वटा ओमिक्रोनका सव भेरिएन्ट फेला परेका छन् । स्वास्थ्य तथा जनसंख्या मन्त्रालयले बिहीबार विज्ञप्ति जारी गर्दै ४८ जनाको नमुना परीक्षण गर्दा सव भेरिएन्ट पुष्टि भएको बताएको हो । 
4,औषधि व्यवस्था विभागले विश्व स्वास्थ्य संगठनको जीएमपी (गुड मेनिफ्याक्चरिङ प्राक्टिस) अर्थात कुशल उत्पादन अभ्यास पालना नगरेका १६ वटा भारतीय औषधि उत्पादक कम्पनीहरुको सूची सार्वजनिक गरेको छ । 
5,ब्रिस्टल हार्ट इन्स्टिच्युटका प्राध्यापक मासिमो क्यापुटोले एक बालकमा भएको जन्मजात मुटुसम्बन्धी समस्यालाई ठीक गर्न स्टेम सेल 'स्काफोल्डिङ' (तहगत संरचना) प्रयोग गरेका छन्। यसले भविष्यमा मुटुसम्बन्धी समस्या लिएर जन्मने बालबालिकाको उपचारका लागि नयाँ आशा जगाउनुका साथै सहज जीवनयापनको बाटो पनि खोलिदिएको छ । 
6,"चिसो बढेसँगै श्वासप्रश्वाससम्बन्धी विभिन्न समस्या देखिन थाल्छन् । त्यसमध्येको एक हो इन्फ्लुएन्जा, जसलाई ‘फ्लु’ पनि भनिन्छ । हावाको माध्यमबाट वा मानिसहरूले संक्रमित सतह छुँदा यो सजिलै सर्छ । इन्फ्लुएन्जा ‘ए र इन्फ्लुएन्जा ‘बी’ ले तुलनात्मक रूपमा बढी संक्रमण फैलाउने गर्छन् । नेपालमा विशेषगरी जेठदेखि भदौ र पुसदेखि चैतसम्म बढी बिरामी देखिन्छन् । "
7,नेपाल जनसांख्यिक तथा स्वास्थ्य सर्वेक्षण २०२२ ले नेपालमा मातृ तथा बाल स्वास्थ्यमा सुधार भएको देखाएको छ । शुक्रबार स्वास्थ्य तथा जनसंख्या मन्त्रालयमा आयोजित एक कार्यक्रममका बीच सर्वेक्षणका मूख्य सूचकहरू प्रतिवेदनको सार्वजनिकरणमा नेपालमा ५ वर्ष मुनिका बालबालिकाहरुको मृत्युदरमा उल्लेखनीय कमी भएको देखाएको छ । 
8,"यो वर्ष महामारीको रुपमा फैलिएको डेंगीका ३ सेरोटाइप (समूह) पुष्टि भएको छ । इपिडिमियोलोजी तथा रोग नियन्त्रण महाशाखा (ईडीसीडी) का अनुसार देशभरबाट लिइएको ३३४ नमुनाबाट सेरोटाइप १, २ र ३ पुष्टि भएको हो । "
9,"मदन भण्डारी स्वास्थ्य विज्ञान प्रतिष्ठान, हेटौंडाले आर्थिक वर्ष २०७८/०७९ मा मिर्गौला प्रत्यारोपण सेवा सुरु गर्ने भएको छ ।  "
