,text
0,काठमाडौं । देशभर थप २४ जनामा कोरोना भाइरसको संक्रमण पुष्टि भएको छ । स्वास्थ्य तथा जनसंख्या मन्त्रालयले १ हजार ८ सय ३९ जनाको नमूना परीक्षण गर्दा २४ जनामा कोरोना भाइरसको
1,काठमाडौं । देशभर थप २१ जनामा कोरोना भाइरसको संक्रमण पुष्टि भएको छ । स्वास्थ्य तथा जनसंख्या मन्त्रालयले १ हजार १ सय ३ जनाको नमूना परीक्षण गर्दा २१ जनामा कोरोना भाइरसको
2,काठमाडाैं । देशभर थप ३७ जनामा कोरोना भाइरसको संक्रमण पुष्टि भएको छ । स्वास्थ्य तथा जनसंख्या मन्त्रालयले २ हजार ४ सय १४ जनाको नमूना परीक्षण गर्दा ३७ जनामा कोरोना भाइरसको
3,काठमाडौं । पछिल्लो २४ घण्टामा ३२ जनामा कोरोना भाइरसको संक्रमण पुष्टि भएको छ । ६ सय ५६ जनाको नमुना परीक्षण गर्दा ३२ जनामा कोरोना संक्रमण पुष्टि भएको स्वास्थ्य तथा जनसङ्ख्या
4,काठमाडौं । पछिल्लो २४ घण्टामा थप ३० जनामा कोरोना भाइरसको संक्रमण पुष्टि भएको छ । स्वास्थ्य मन्त्रालयले १६ सय ३० जनाको नमुना परीक्षण गर्दा ३० जनामा कोरोना संक्रमण पुष्टि भएको
5,काठमाडौं । पछिल्लो २४ घण्टामा थप १७ जनामा कोरोना भाइरसको संक्रमण पुष्टि भएको छ । स्वास्थ्य मन्त्रालयले पीसीआरबाट ५ सय ५ जनाको नमुना परीक्षण गर्दा १७ जनामा कोरोना संक्रमण पुष्टि
6,काठमाडौं । पछिल्लो २४ घण्टामा थप ५१ जनामा कोरोना भाइरसको संक्रमण पुष्टि भएको छ । स्वास्थ्य मन्त्रालयले पीसीआर र एन्टीजेन गरी १ हजार ९ सय २ जनाको नमुना परीक्षण गर्दा
7,काठमाडौं । देशभर थप ५७ जनामा कोरोना संक्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा १ हजार ९ सय ३१ जनाको नमूना परीक्षण गरिएको थियो । ७ सय १६ जनाको
8,काठमाडौं । देशभर थप ३२ जनामा कोरोना संक्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा १ हजार ९ सय ६४ जनाको नमूना परीक्षण गरिएको थियो । ३ सय ४ जनाको
9,काठमाडौं । देशभर थप ७६ जनामा कोरोना संक्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा १ हजार ६ सय ३ जनाको नमूना परीक्षण गरिएको थियो । ५५ जनाको पीसीआर र
0,काठमाडौं । देशभर थप २४ जनामा कोरोना भाइरसको संक्रमण पुष्टि भएको छ । स्वास्थ्य तथा जनसंख्या मन्त्रालयले १ हजार ८ सय ३९ जनाको नमूना परीक्षण गर्दा २४ जनामा कोरोना भाइरसको
1,काठमाडौं । देशभर थप २१ जनामा कोरोना भाइरसको संक्रमण पुष्टि भएको छ । स्वास्थ्य तथा जनसंख्या मन्त्रालयले १ हजार १ सय ३ जनाको नमूना परीक्षण गर्दा २१ जनामा कोरोना भाइरसको
2,काठमाडाैं । देशभर थप ३७ जनामा कोरोना भाइरसको संक्रमण पुष्टि भएको छ । स्वास्थ्य तथा जनसंख्या मन्त्रालयले २ हजार ४ सय १४ जनाको नमूना परीक्षण गर्दा ३७ जनामा कोरोना भाइरसको
3,काठमाडौं । पछिल्लो २४ घण्टामा ३२ जनामा कोरोना भाइरसको संक्रमण पुष्टि भएको छ । ६ सय ५६ जनाको नमुना परीक्षण गर्दा ३२ जनामा कोरोना संक्रमण पुष्टि भएको स्वास्थ्य तथा जनसङ्ख्या
4,काठमाडौं । पछिल्लो २४ घण्टामा थप ३० जनामा कोरोना भाइरसको संक्रमण पुष्टि भएको छ । स्वास्थ्य मन्त्रालयले १६ सय ३० जनाको नमुना परीक्षण गर्दा ३० जनामा कोरोना संक्रमण पुष्टि भएको
5,काठमाडौं । पछिल्लो २४ घण्टामा थप १७ जनामा कोरोना भाइरसको संक्रमण पुष्टि भएको छ । स्वास्थ्य मन्त्रालयले पीसीआरबाट ५ सय ५ जनाको नमुना परीक्षण गर्दा १७ जनामा कोरोना संक्रमण पुष्टि
6,काठमाडौं । पछिल्लो २४ घण्टामा थप ५१ जनामा कोरोना भाइरसको संक्रमण पुष्टि भएको छ । स्वास्थ्य मन्त्रालयले पीसीआर र एन्टीजेन गरी १ हजार ९ सय २ जनाको नमुना परीक्षण गर्दा
7,काठमाडौं । देशभर थप ५७ जनामा कोरोना संक्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा १ हजार ९ सय ३१ जनाको नमूना परीक्षण गरिएको थियो । ७ सय १६ जनाको
8,काठमाडौं । देशभर थप ३२ जनामा कोरोना संक्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा १ हजार ९ सय ६४ जनाको नमूना परीक्षण गरिएको थियो । ३ सय ४ जनाको
9,काठमाडौं । देशभर थप ७६ जनामा कोरोना संक्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा १ हजार ६ सय ३ जनाको नमूना परीक्षण गरिएको थियो । ५५ जनाको पीसीआर र
0,काठमाडौं । देशभर थप १७ जनामा कोरोना संक्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा २५७ जनाको नमूना परीक्षण गरिएको थियो । उक्त परीक्षणमा १७ जनामा कोरोना संक्रमण पुष्टि भएको
1,काठमाडौं । देशभर थप ४३ जनामा कोरोना संक्रमण पुष्टि भएको छ भने १ जनाको मृत्यु भएको छ । पछिल्लो २४ घण्टामा १३ सय १ जनाको नमूना परीक्षण गरिएको थियो ।
2,काठमाडौं । गत २४ घण्टामा देशभर थप ९१ जनामा कोरोना संक्रमण पुष्टि भएको छ । साेही अवधिमा २ हजार ५ सय ३२ जनाको नमूना परीक्षण गरिएको स्वास्थ्य तथा जनसंख्या मन्त्रालयले
3,काठमाडौं । देशभर थप १९ जनामा कोरोना संक्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा ३ सय ७५ जनाको नमूना परीक्षण गरिएको थियो । २ सय ७२ जनाको पीसीआर विधिबाट
4,काठमाडौं । देशभर थप ६० जनामा कोरोना संक्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा १ हजार ४ सय ७३ जनाको नमूना परीक्षण गरिएको थियो । २ सय ७२ जनाको
5,काठमाडौं । देशभर थप ५१ जनामा कोरोना संक्रमण पुष्टि भएको छ भने १ जनाको मृत्यु भएको छ । पछिल्लो २४ घण्टामा १२ सय ३८ जनाको नमूना परीक्षण गरिएको थियो ।
6,काठमाडौं । देशभर थप एक सय ११ जनामा कोरोना संक्रमण पुष्टि भएको छ भने १ जनाको मृत्यु भएको छ । पछिल्लो २४ घण्टामा २५ सय १७ जनाको नमूना परीक्षण गरिएको
7,काठमाडौं । देशभर थप ८२ जनामा कोरोना संक्रमण पुष्टि भएको छ भने १ जनाको मृत्यु भएको छ । पछिल्लो २४ घण्टामा १ हजार ६३४ जनाको नमूना परीक्षण गरिएको थियो ।
8,काठमाडौं । देशभर थप १ सय ३६ जनामा कोरोना संक्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा १ हजार ५ सय ९१ जनाको नमूना परीक्षण गरिएको थियो । १ हजार
9,काठमाडौं । देशभर थप १ सय १३ जनामा कोरोना संक्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा १ हजार ८ सय १० जनाको नमूना परीक्षण गरिएको थियो । ७ सय
0,काठमाडौं । स्वास्थ्य तथा जनसङ्ख्या मन्त्रालयले कोरोना भाइरसको सङ्क्रमण बढ्दै गइरहेकाले खोप लगाउन आग्रह गरेको छ । मन्त्रालयले कोरोना भाइरसविरुद्धको खोप लगाउँदा सङ्क्रमण नहुने भएकाले खोप लगाउन आग्रह गरेको हो
1,काठमाडौं । देशभर थप ८१ जनामा कोरोना संक्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा १ हजार ३ सय ६ जनाको नमूना परीक्षण गरिएको थियो । ३ सय ७० जनाको
2,काठमाडौं । देशभर थप १ सय ६ जनामा कोरोना संक्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा १ हजार ८८६ जनाको नमूना परीक्षण गरिएको थियो । ५ सय ८१ जनाको
3,काठमाडौं । देशभर थप १ सय ३ जनामा कोरोना संक्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा १ हजार ६ सय ४५ जनाको नमूना परीक्षण गरिएको थियो । ४ सय
4,काठमाडौं । पछिल्लो २४ घण्टामा देशभर थप १ सय ४ जनामा कोरोना संक्रमण पुष्टि भएको छ भने १ जनाको मृत्यु भएको छ । स्वास्थ्य तथा जनसंख्या मन्त्रालयका अनुसार १ हजार
5,काठमाडौं । देशभर थप ६४ जनामा कोरोना संक्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा ९५६ जनाको नमूना परीक्षण गरिएको थियो । १५१ जनाको पीसीआर र ८०५ जनाको एन्टीजेन विधिबाट
6,काठमाडौं । केही महिनायता कोरोना संक्रमणदर शून्य रहेको सुदूरपश्चिम प्रदेशमा कोरोना संक्रमण फेरि बढ्न थालेको छ । भारतबाट घर फर्किने अधिकांशमा सङ्क्रमण देखिन थालेको हो । चैत महिनामा २ सय
7,काठमाडौं । देशभर थप १ सय ३६ जनामा कोरोना संक्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा १ हजार ४२४ जनाको नमूना परीक्षण गरिएको थियो । १९७ जनाको पीसीआर र
8,काठमाडौं । देशभर थप १ सय ६ जनामा कोरोना संक्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा १ हजार ४८८ जनाको नमूना परीक्षण गरिएको थियो । ५४१ जनाको पीसीआर र
9,काठमाडौं । पछिल्ला केही दिनमा नेपालमा कोरोना संक्रमण बढ्ने क्रममा छ । सक्रिय संक्रमितको संख्या पनि चुलिएको छ । सरकारले कोरोना संक्रमणविरुद्धको खोप लगाउन उर्दी लगाएको छ । पहिला लगाएको
0,काठमाडौं । देशभर थप १ सय ६ जनामा कोरोना संक्रमण पुष्टि हुँदा १ जनाको मृत्यु भएको छ । पछिल्लो २४ घण्टामा २ हजार ४ सय ३६ जनाको नमूना परीक्षण गरिएको
1,काठमाडौं । पछिल्लो २४ घण्टामा १२४ जनामा कोरोना संक्रमण पुष्टि भएको छ । पीसीआरबाट ७७ जना र एन्टिजेन विधिबाट ४७ जनामा गरि १२४ जनामा संक्रमण देखिएको स्वास्थ्य मन्त्रालयले जनाएको छ
2,काठमाडौं । सरकारले कोभिड १९ को संक्रमण बढ्दै गएको भन्दै स्वास्थ्यका मापदण्डको पूर्ण पालना गर्न आग्रह गरेको छ । स्वास्थ्य तथा जनसंख्या मन्त्रालयले आइतबार पछिल्लो समय कोरोना भाइरसको दर बढ्दै
3,काठमाडौं । देशभर थप ५५ जनामा कोरोना संक्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा १ हजार २ सय १६ जनाको नमूना परीक्षण गरिएको थियो । ६७१ जनाको पीसीआर र
4,काठमाडौं । सरकारले कोरोना भाइरसको सङ्क्रमण बढिरहेकाले कोरोना भाइरसविरुद्धको खोप लगाउन सबैमा अपिल गरेको छ । स्वास्थ्य जनसंख्याले मन्त्रालयले दैनिक संक्रमण बढिरहेकाले खोप लगाउन आग्रह गरेको हो । मन्त्रालयका सहप्रवक्ता
5,काठमाडौं । पछिल्लो २४ घण्टामा देशभर ९८ जनामा कोरोना संक्रमण देखिएको छ । १ हजार ७ सय ६८ वटा नमुना परीक्षण गर्दा ९८ जनामा संक्रमण पुष्टि भएको स्वास्थ्य तथा जनसंख्या
6,एजेन्सी । भारतमा फेरि कोरोना संक्रमण तीव्र गतिमा बढ्नुका साथै संक्रमणबाट मृत्यु हुनेको संख्या पनि बढ्न थालेको छ । पछिल्लो २४ घण्टामा संक्रमणकै कारण १५ जनाको मृत्यु भएको छ भने
7,काठमाडौं । छिमेकी देश भारतमा फैलिएको कोरोना भाइरसको ओमिक्रोनको नयाँ भेरिएन्ट ‘एक्स.बी.बी १ दशमलव १६’ पुष्टि भएको छ । स्वास्थ्य तथा जनसंख्या मन्त्रालयका सहप्रवक्ता डा. समिर अधिकारीले चैत महिनामा कोरोना
8,काठमाडौं । छिमेकी मुलुकहरुमा कोरोनाको नयाँ भेरियन्ट एक्सबीबी वान प्वईन्ट सिक्स्टीन संक्रमण बढिरहँदा नेपालमा पनि संक्रमणको जोखिम देखिएको छ । जनस्वास्थ्यका मापदण्ड अपनाउनुका साथै पूर्णखोप लगाउन चिकित्सकहरु सुझाव दिन्छन् ।
9,काठमाडौं । देशभर थप ७६ जनामा कोरोना संक्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा ३४५ जनाको पीसीआर र ८०६ जनाको एन्टीजेन विधिबाट नमूना परीक्षण गरिएको थियो । उक्त परीक्षणमा
0,काठमाडौं । देशभर थप ३८ जनामा कोरोना संक्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा १८५ जनाको पीसीआर र ५१६ जनाको एन्टीजेन विधिबाट नमूना परीक्षण गरिएको थियो । उक्त परीक्षणमा
1,काठमाडौं । देशभर थप ४२ जनामा कोरोना संक्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा ३०० जनाको पीसीआर र ६१५ जनाको एन्टीजेन विधिबाट नमूना परीक्षण गरिएको थियो । उक्त परीक्षणमा
2,काठमाडौं । देशभर थप ३४ जनामा कोरोना क्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा ५३० जनाको पीसीआर र ८०० जनाको एन्टीजेन विधिबाट नमूना परीक्षण गरिएको थियो । उक्त परीक्षणमा
3,काठमाडौं । स्वास्थ्य तथा जनसङ्ख्या मन्त्रालयले कोरोनाको संक्रमणलाई रुघाखोकी भनेर बेवास्ता नगर्न आग्रह गरेको छ । मन्त्रालयले सूचना जारी गर्दै अहिले कोरोना भाइरस संक्रमण र रुघाखोकीको लक्षण मिल्दाजुल्दा देखिएकाले संक्रमणलाई
4,काठमाडौं । देशभर थप २४ जनामा कोरोना क्रमण पुष्टि भएको छ । पछिल्लो २४ घण्टामा ३२० जनाको पीसीआर र ११०९ जनाको एन्टीजेन विधिबाट नमूना परीक्षण गरिएको थियो । उक्त परीक्षणमा
